path	category	subcategory	duration_s	sample_rate
musan/music/fma-western-art/music-fma-wa-0000.wav	music	fma-western-art	96.6269	16000
musan/music/fma-western-art/music-fma-wa-0001.wav	music	fma-western-art	97.2278	16000
musan/music/fma-western-art/music-fma-wa-0002.wav	music	fma-western-art	73.9004	16000
musan/music/fma-western-art/music-fma-wa-0003.wav	music	fma-western-art	297.2474	16000
musan/music/fma-western-art/music-fma-wa-0004.wav	music	fma-western-art	273.6326	16000
musan/music/fma-western-art/music-fma-wa-0005.wav	music	fma-western-art	202.9192	16000
musan/music/fma-western-art/music-fma-wa-0006.wav	music	fma-western-art	157.4139	16000
musan/music/fma-western-art/music-fma-wa-0007.wav	music	fma-western-art	411.6898	16000
musan/music/fma-western-art/music-fma-wa-0008.wav	music	fma-western-art	334.7853	16000
musan/music/fma-western-art/music-fma-wa-0009.wav	music	fma-western-art	238.6286	16000
musan/music/fma-western-art/music-fma-wa-0010.wav	music	fma-western-art	319.1902	16000
musan/music/fma-western-art/music-fma-wa-0011.wav	music	fma-western-art	127.2686	16000
musan/music/fma-western-art/music-fma-wa-0012.wav	music	fma-western-art	200.5421	16000
musan/music/fma-western-art/music-fma-wa-0013.wav	music	fma-western-art	355.4221	16000
musan/music/fma-western-art/music-fma-wa-0014.wav	music	fma-western-art	135.3665	16000
musan/music/fma-western-art/music-fma-wa-0015.wav	music	fma-western-art	343.4057	16000
musan/music/fma-western-art/music-fma-wa-0016.wav	music	fma-western-art	481.0449	16000
musan/music/fma-western-art/music-fma-wa-0017.wav	music	fma-western-art	172.7739	16000
musan/music/fma-western-art/music-fma-wa-0018.wav	music	fma-western-art	153.1821	16000
musan/music/fma-western-art/music-fma-wa-0019.wav	music	fma-western-art	146.1551	16000
musan/music/fma-western-art/music-fma-wa-0020.wav	music	fma-western-art	271.4384	16000
musan/music/fma-western-art/music-fma-wa-0021.wav	music	fma-western-art	203.1021	16000
musan/music/fma-western-art/music-fma-wa-0022.wav	music	fma-western-art	446.7722	16000
musan/music/fma-western-art/music-fma-wa-0023.wav	music	fma-western-art	205.1135	16000
musan/music/fma-western-art/music-fma-wa-0024.wav	music	fma-western-art	174.0016	16000
musan/music/fma-western-art/music-fma-wa-0025.wav	music	fma-western-art	242.3641	16000
musan/music/fma-western-art/music-fma-wa-0026.wav	music	fma-western-art	136.0196	16000
musan/music/fma-western-art/music-fma-wa-0027.wav	music	fma-western-art	102.4000	16000
musan/music/fma-western-art/music-fma-wa-0028.wav	music	fma-western-art	134.9486	16000
musan/music/fma-western-art/music-fma-wa-0029.wav	music	fma-western-art	397.6359	16000
musan/music/fma-western-art/music-fma-wa-0030.wav	music	fma-western-art	333.0612	16000
musan/music/fma-western-art/music-fma-wa-0031.wav	music	fma-western-art	375.8759	16000
