path	category	subcategory	duration_s	sample_rate	split
musan/music/fma/music-fma-0001.wav	music	fma	218.0441	16000	train
musan/music/fma/music-fma-0002.wav	music	fma	249.5478	16000	train
musan/music/fma/music-fma-0005.wav	music	fma	302.4979	16000	train
musan/music/fma/music-fma-0006.wav	music	fma	284.6560	16000	train
musan/music/fma/music-fma-0007.wav	music	fma	283.4020	16000	train
musan/music/fma/music-fma-0008.wav	music	fma	182.3080	16000	train
musan/music/fma/music-fma-0009.wav	music	fma	360.0710	16000	train
musan/music/fma/music-fma-0010.wav	music	fma	145.6849	16000	train
musan/music/fma/music-fma-0012.wav	music	fma	170.0310	16000	train
musan/music/fma/music-fma-0014.wav	music	fma	318.3021	16000	train
musan/music/fma/music-fma-0015.wav	music	fma	304.1176	16000	train
musan/music/fma/music-fma-0016.wav	music	fma	308.7935	16000	train
musan/music/fma/music-fma-0018.wav	music	fma	224.5747	16000	train
musan/music/fma/music-fma-0019.wav	music	fma	238.3935	16000	train
musan/music/fma/music-fma-0021.wav	music	fma	252.3680	16000	train
musan/music/fma/music-fma-0022.wav	music	fma	207.6730	16000	train
musan/music/fma/music-fma-0023.wav	music	fma	227.8660	16000	train
musan/music/fma/music-fma-0024.wav	music	fma	238.3410	16000	train
musan/music/fma/music-fma-0026.wav	music	fma	330.5013	16000	train
musan/music/fma/music-fma-0030.wav	music	fma	176.0392	16000	train
musan/music/fma/music-fma-0032.wav	music	fma	159.2947	16000	train
musan/music/fma/music-fma-0033.wav	music	fma	148.8457	16000	train
musan/music/fma/music-fma-0034.wav	music	fma	302.3930	16000	train
musan/music/fma/music-fma-0036.wav	music	fma	284.3680	16000	train
musan/music/fma/music-fma-0037.wav	music	fma	293.9030	16000	train
musan/music/fma/music-fma-0038.wav	music	fma	327.2880	16000	train
musan/music/fma/music-fma-0039.wav	music	fma	268.9040	16000	train
musan/music/fma/music-fma-0040.wav	music	fma	100.0480	16000	train
musan/music/fma/music-fma-0041.wav	music	fma	164.2050	16000	train
musan/music/fma/music-fma-0042.wav	music	fma	286.9551	16000	train
musan/music/fma/music-fma-0043.wav	music	fma	232.0718	16000	train
musan/music/fma/music-fma-0044.wav	music	fma	248.7379	16000	train
musan/music/fma/music-fma-0045.wav	music	fma	207.1771	16000	train
musan/music/fma/music-fma-0046.wav	music	fma	252.1861	16000	train
musan/music/fma/music-fma-0047.wav	music	fma	166.8702	16000	train
musan/music/fma/music-fma-0048.wav	music	fma	180.5580	16000	train
musan/music/fma/music-fma-0049.wav	music	fma	232.4890	16000	train
musan/music/fma/music-fma-0050.wav	music	fma	187.3502	16000	train
musan/music/fma/music-fma-0051.wav	music	fma	256.1567	16000	train
musan/music/fma/music-fma-0052.wav	music	fma	139.4150	16000	train
musan/music/fma/music-fma-0055.wav	music	fma	266.7620	16000	train
musan/music/fma/music-fma-0056.wav	music	fma	338.5730	16000	train
musan/music/fma/music-fma-0058.wav	music	fma	153.3910	16000	train
musan/music/fma/music-fma-0059.wav	music	fma	152.9208	16000	train
musan/music/fma/music-fma-0060.wav	music	fma	133.4335	16000	train
musan/music/fma/music-fma-0061.wav	music	fma	155.5592	16000	train
musan/music/fma/music-fma-0062.wav	music	fma	161.2800	16000	train
musan/music/fma/music-fma-0063.wav	music	fma	241.6060	16000	train
musan/music/fma/music-fma-0065.wav	music	fma	235.5720	16000	train
musan/music/fma/music-fma-0066.wav	music	fma	164.4400	16000	train
musan/music/fma/music-fma-0067.wav	music	fma	277.0020	16000	train
musan/music/fma/music-fma-0068.wav	music	fma	251.1670	16000	train
musan/music/fma/music-fma-0070.wav	music	fma	236.0163	16000	train
musan/music/fma/music-fma-0072.wav	music	fma	130.6906	16000	train
musan/music/fma/music-fma-0073.wav	music	fma	229.2240	16000	train
musan/music/fma/music-fma-0074.wav	music	fma	346.9061	16000	train
musan/music/fma/music-fma-0076.wav	music	fma	235.9379	16000	train
musan/music/fma/music-fma-0078.wav	music	fma	299.3894	16000	train
musan/music/fma/music-fma-0079.wav	music	fma	222.5110	16000	train
musan/music/fma/music-fma-0080.wav	music	fma	216.0326	16000	train
musan/music/fma/music-fma-0081.wav	music	fma	282.0440	16000	train
musan/music/fma/music-fma-0082.wav	music	fma	74.0830	16000	train
musan/music/fma/music-fma-0084.wav	music	fma	260.0480	16000	train
musan/music/fma/music-fma-0085.wav	music	fma	78.5760	16000	train
musan/music/fma/music-fma-0087.wav	music	fma	160.4170	16000	train
musan/music/fma/music-fma-0088.wav	music	fma	167.8106	16000	train
musan/music/fma/music-fma-0090.wav	music	fma	229.6947	16000	train
musan/music/fma/music-fma-0092.wav	music	fma	257.3845	16000	train
musan/music/fma/music-fma-0093.wav	music	fma	218.4098	16000	train
musan/music/fma/music-fma-0095.wav	music	fma	202.1094	16000	train
musan/music/fma/music-fma-0096.wav	music	fma	204.2253	16000	train
musan/music/fma/music-fma-0097.wav	music	fma	242.2850	16000	train
musan/music/fma/music-fma-0098.wav	music	fma	201.5860	16000	train
musan/music/fma/music-fma-0100.wav	music	fma	48.0650	16000	train
musan/music/fma/music-fma-0101.wav	music	fma	262.5045	16000	train
musan/music/fma/music-fma-0102.wav	music	fma	212.0098	16000	train
musan/music/fma/music-fma-0103.wav	music	fma	160.9926	16000	train
musan/music/fma/music-fma-0104.wav	music	fma	198.0343	16000	train
musan/music/fma/music-fma-0105.wav	music	fma	203.7812	16000	train
musan/music/fma/music-fma-0106.wav	music	fma	199.3404	16000	train
musan/music/fma/music-fma-0107.wav	music	fma	185.6523	16000	train
musan/music/fma/music-fma-0108.wav	music	fma	176.5094	16000	train
musan/music/fma/music-fma-0109.wav	music	fma	232.8294	16000	train
musan/music/fma/music-fma-0111.wav	music	fma	238.6024	16000	train
musan/music/fma/music-fma-0112.wav	music	fma	229.6686	16000	train
musan/music/fma/music-fma-0117.wav	music	fma	121.8874	16000	train
musan/music/fma/music-fma-0118.wav	music	fma	170.1350	16000	train
musan/music/fma/music-fma-0119.wav	music	fma	702.5370	16000	train
musan/music/fma/music-fma-0121.wav	music	fma	655.1240	16000	train
musan/music/fma/music-fma-0123.wav	music	fma	521.9260	16000	train
musan/music/jamendo/music-jamendo-0001.wav	music	jamendo	307.1730	16000	train
musan/music/jamendo/music-jamendo-0003.wav	music	jamendo	165.1720	16000	train
musan/music/jamendo/music-jamendo-0005.wav	music	jamendo	294.6080	16000	train
musan/music/jamendo/music-jamendo-0006.wav	music	jamendo	422.3730	16000	train
